_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
9159,2018Q1,S92000003,d,S08000015,All Cancer Types,d,217,"",200,""
9160,2018Q1,S92000003,d,S08000015,Breast,"",75,"",74,""
9161,2018Q1,S92000003,d,S08000015,Cervical,"",4,"",4,""
9162,2018Q1,S92000003,d,S08000015,Colorectal,"",41,"",35,""
9163,2018Q1,S92000003,d,S08000015,Head & Neck,"",5,"",5,""
9164,2018Q1,S92000003,d,S08000015,Lung,"",23,"",22,""
9165,2018Q1,S92000003,d,S08000015,Melanoma,"",12,"",9,""
9166,2018Q1,S92000003,d,S08000015,Ovarian,"",4,"",4,""
9167,2018Q1,S92000003,d,S08000015,Upper GI,"",21,"",18,""
9168,2018Q1,S92000003,d,S08000015,Urological,"",32,"",29,""
9169,2018Q1,S92000003,d,S08000016,All Cancer Types,d,65,"",65,""
9170,2018Q1,S92000003,d,S08000016,Breast,"",7,"",7,""
9171,2018Q1,S92000003,d,S08000016,Cervical,"",1,"",1,""
9172,2018Q1,S92000003,d,S08000016,Colorectal,"",15,"",15,""
9173,2018Q1,S92000003,d,S08000016,Head & Neck,"",1,"",1,""
9174,2018Q1,S92000003,d,S08000016,Lung,"",15,"",15,""
9175,2018Q1,S92000003,d,S08000016,Lymphoma,"",4,"",4,""
9176,2018Q1,S92000003,d,S08000016,Melanoma,"",3,"",3,""
9177,2018Q1,S92000003,d,S08000016,Ovarian,"",3,"",3,""
9178,2018Q1,S92000003,d,S08000016,Upper GI,"",9,"",9,""
9179,2018Q1,S92000003,d,S08000016,Urological,"",7,"",7,""
9180,2018Q1,S92000003,d,S08000017,All Cancer Types,d,96,"",94,""
9181,2018Q1,S92000003,d,S08000017,Breast,"",22,"",22,""
9182,2018Q1,S92000003,d,S08000017,Colorectal,"",22,"",22,""
9183,2018Q1,S92000003,d,S08000017,Head & Neck,"",1,"",1,""
9184,2018Q1,S92000003,d,S08000017,Lung,"",18,"",18,""
9185,2018Q1,S92000003,d,S08000017,Lymphoma,"",3,"",2,""
9186,2018Q1,S92000003,d,S08000017,Melanoma,"",1,"",1,""
9187,2018Q1,S92000003,d,S08000017,Ovarian,"",1,"",1,""
9188,2018Q1,S92000003,d,S08000017,Upper GI,"",16,"",16,""
9189,2018Q1,S92000003,d,S08000017,Urological,"",12,"",11,""
9190,2018Q1,S92000003,d,S08000019,All Cancer Types,d,202,"",174,""
9191,2018Q1,S92000003,d,S08000019,Breast,"",31,"",31,""
9192,2018Q1,S92000003,d,S08000019,Cervical,"",1,"",1,""
9193,2018Q1,S92000003,d,S08000019,Colorectal,"",28,"",19,""
9194,2018Q1,S92000003,d,S08000019,Head & Neck,"",3,"",3,""
9195,2018Q1,S92000003,d,S08000019,Lung,"",32,"",31,""
9196,2018Q1,S92000003,d,S08000019,Lymphoma,"",12,"",11,""
9197,2018Q1,S92000003,d,S08000019,Melanoma,"",18,"",14,""
9198,2018Q1,S92000003,d,S08000019,Ovarian,"",1,"",1,""
9199,2018Q1,S92000003,d,S08000019,Upper GI,"",12,"",12,""
9200,2018Q1,S92000003,d,S08000019,Urological,"",64,"",51,""
9201,2018Q1,S92000003,d,S08000020,All Cancer Types,d,376,"",285,""
9202,2018Q1,S92000003,d,S08000020,Breast,"",76,"",67,""
9203,2018Q1,S92000003,d,S08000020,Cervical,"",5,"",2,""
9204,2018Q1,S92000003,d,S08000020,Colorectal,"",44,"",28,""
9205,2018Q1,S92000003,d,S08000020,Head & Neck,"",12,"",11,""
9206,2018Q1,S92000003,d,S08000020,Lung,"",72,"",62,""
9207,2018Q1,S92000003,d,S08000020,Lymphoma,"",9,"",8,""
9208,2018Q1,S92000003,d,S08000020,Melanoma,"",21,"",14,""
9209,2018Q1,S92000003,d,S08000020,Ovarian,"",11,"",7,""
9210,2018Q1,S92000003,d,S08000020,Upper GI,"",45,"",40,""
9211,2018Q1,S92000003,d,S08000020,Urological,"",81,"",46,""
9212,2018Q1,S92000003,d,S08000022,All Cancer Types,d,209,"",173,""
9213,2018Q1,S92000003,d,S08000022,Breast,"",56,"",56,""
9214,2018Q1,S92000003,d,S08000022,Cervical,"",3,"",3,""
9215,2018Q1,S92000003,d,S08000022,Colorectal,"",31,"",25,""
9216,2018Q1,S92000003,d,S08000022,Head & Neck,"",1,"",1,""
9217,2018Q1,S92000003,d,S08000022,Lung,"",22,"",20,""
9218,2018Q1,S92000003,d,S08000022,Lymphoma,"",9,"",9,""
9219,2018Q1,S92000003,d,S08000022,Melanoma,"",12,"",11,""
9220,2018Q1,S92000003,d,S08000022,Ovarian,"",4,"",4,""
9221,2018Q1,S92000003,d,S08000022,Upper GI,"",30,"",25,""
9222,2018Q1,S92000003,d,S08000022,Urological,"",41,"",19,""
9223,2018Q1,S92000003,d,S08000024,All Cancer Types,d,541,"",460,""
9224,2018Q1,S92000003,d,S08000024,Breast,"",152,"",151,""
9225,2018Q1,S92000003,d,S08000024,Cervical,"",10,"",9,""
9226,2018Q1,S92000003,d,S08000024,Colorectal,"",79,"",57,""
9227,2018Q1,S92000003,d,S08000024,Head & Neck,"",32,"",29,""
9228,2018Q1,S92000003,d,S08000024,Lung,"",76,"",70,""
9229,2018Q1,S92000003,d,S08000024,Lymphoma,"",17,"",16,""
9230,2018Q1,S92000003,d,S08000024,Melanoma,"",17,"",13,""
9231,2018Q1,S92000003,d,S08000024,Ovarian,"",11,"",11,""
9232,2018Q1,S92000003,d,S08000024,Upper GI,"",46,"",34,""
9233,2018Q1,S92000003,d,S08000024,Urological,"",101,"",70,""
9234,2018Q1,S92000003,d,S08000025,All Cancer Types,d,8,"",8,""
9235,2018Q1,S92000003,d,S08000025,Colorectal,"",3,"",3,""
9236,2018Q1,S92000003,d,S08000025,Melanoma,"",1,"",1,""
9237,2018Q1,S92000003,d,S08000025,Upper GI,"",2,"",2,""
9238,2018Q1,S92000003,d,S08000025,Urological,"",2,"",2,""
9239,2018Q1,S92000003,d,S08000026,All Cancer Types,d,15,"",15,""
9240,2018Q1,S92000003,d,S08000026,Breast,"",3,"",3,""
9241,2018Q1,S92000003,d,S08000026,Colorectal,"",6,"",6,""
9242,2018Q1,S92000003,d,S08000026,Lung,"",3,"",3,""
9243,2018Q1,S92000003,d,S08000026,Melanoma,"",1,"",1,""
9244,2018Q1,S92000003,d,S08000026,Urological,"",2,"",2,""
9245,2018Q1,S92000003,d,S08000028,All Cancer Types,d,11,"",10,""
9246,2018Q1,S92000003,d,S08000028,Breast,"",2,"",2,""
9247,2018Q1,S92000003,d,S08000028,Colorectal,"",1,"",1,""
9248,2018Q1,S92000003,d,S08000028,Lung,"",4,"",4,""
9249,2018Q1,S92000003,d,S08000028,Lymphoma,"",1,"",1,""
9250,2018Q1,S92000003,d,S08000028,Upper GI,"",2,"",2,""
9251,2018Q1,S92000003,d,S08000028,Urological,"",1,"",0,""
9252,2018Q1,S92000003,d,S08000029,All Cancer Types,d,169,"",154,""
9253,2018Q1,S92000003,d,S08000029,Breast,"",24,"",22,""
9254,2018Q1,S92000003,d,S08000029,Colorectal,"",31,"",31,""
9255,2018Q1,S92000003,d,S08000029,Head & Neck,"",1,"",1,""
9256,2018Q1,S92000003,d,S08000029,Lung,"",48,"",45,""
9257,2018Q1,S92000003,d,S08000029,Lymphoma,"",4,"",3,""
9258,2018Q1,S92000003,d,S08000029,Melanoma,"",5,"",5,""
9259,2018Q1,S92000003,d,S08000029,Ovarian,"",6,"",5,""
9260,2018Q1,S92000003,d,S08000029,Upper GI,"",19,"",19,""
9261,2018Q1,S92000003,d,S08000029,Urological,"",31,"",23,""
9262,2018Q1,S92000003,d,S08000030,All Cancer Types,d,243,"",210,""
9263,2018Q1,S92000003,d,S08000030,Breast,"",58,"",56,""
9264,2018Q1,S92000003,d,S08000030,Cervical,"",4,"",1,""
9265,2018Q1,S92000003,d,S08000030,Colorectal,"",56,"",47,""
9266,2018Q1,S92000003,d,S08000030,Head & Neck,"",9,"",7,""
9267,2018Q1,S92000003,d,S08000030,Lung,"",42,"",33,""
9268,2018Q1,S92000003,d,S08000030,Lymphoma,"",4,"",4,""
9269,2018Q1,S92000003,d,S08000030,Melanoma,"",4,"",4,""
9270,2018Q1,S92000003,d,S08000030,Ovarian,"",4,"",3,""
9271,2018Q1,S92000003,d,S08000030,Upper GI,"",20,"",19,""
9272,2018Q1,S92000003,d,S08000030,Urological,"",42,"",36,""
9273,2018Q1,S92000003,d,S08000031,All Cancer Types,d,942,"",755,""
9274,2018Q1,S92000003,d,S08000031,Breast,"",232,"",207,""
9275,2018Q1,S92000003,d,S08000031,Cervical,"",11,"",8,""
9276,2018Q1,S92000003,d,S08000031,Colorectal,"",135,"",108,""
9277,2018Q1,S92000003,d,S08000031,Head & Neck,"",62,"",51,""
9278,2018Q1,S92000003,d,S08000031,Lung,"",151,"",136,""
9279,2018Q1,S92000003,d,S08000031,Lymphoma,"",34,"",30,""
9280,2018Q1,S92000003,d,S08000031,Melanoma,"",30,"",30,""
9281,2018Q1,S92000003,d,S08000031,Ovarian,"",22,"",20,""
9282,2018Q1,S92000003,d,S08000031,Upper GI,"",102,"",81,""
9283,2018Q1,S92000003,d,S08000031,Urological,"",163,"",84,""
9284,2018Q1,S92000003,d,S08000032,All Cancer Types,d,271,"",264,""
9285,2018Q1,S92000003,d,S08000032,Breast,"",73,"",73,""
9286,2018Q1,S92000003,d,S08000032,Cervical,"",2,"",2,""
9287,2018Q1,S92000003,d,S08000032,Colorectal,"",45,"",39,""
9288,2018Q1,S92000003,d,S08000032,Head & Neck,"",4,"",4,""
9289,2018Q1,S92000003,d,S08000032,Lung,"",30,"",30,""
9290,2018Q1,S92000003,d,S08000032,Lymphoma,"",11,"",11,""
9291,2018Q1,S92000003,d,S08000032,Melanoma,"",25,"",24,""
9292,2018Q1,S92000003,d,S08000032,Ovarian,"",1,"",1,""
9293,2018Q1,S92000003,d,S08000032,Upper GI,"",35,"",35,""
9294,2018Q1,S92000003,d,S08000032,Urological,"",45,"",45,""
9295,2018Q1,S92000003,d,SB0801,All Cancer Types,d,37,"",25,""
9296,2018Q1,S92000003,d,SB0801,Lung,"",37,"",25,""
9297,2018Q2,S08000015,"",S08000015,All Cancer Types,d,220,"",201,""
9298,2018Q2,S08000015,"",S08000015,Breast,"",65,"",60,""
9299,2018Q2,S08000015,"",S08000015,Colorectal,"",32,"",27,""
9300,2018Q2,S08000015,"",S08000015,Head & Neck,"",8,"",8,""
9301,2018Q2,S08000015,"",S08000015,Lung,"",30,"",29,""
9302,2018Q2,S08000015,"",S08000015,Lymphoma,"",5,"",5,""
9303,2018Q2,S08000015,"",S08000015,Melanoma,"",8,"",8,""
9304,2018Q2,S08000015,"",S08000015,Ovarian,"",5,"",5,""
9305,2018Q2,S08000015,"",S08000015,Upper GI,"",20,"",17,""
9306,2018Q2,S08000015,"",S08000015,Urological,"",47,"",42,""
9307,2018Q2,S08000015,"",S08000017,All Cancer Types,d,10,"",10,""
9308,2018Q2,S08000015,"",S08000017,Breast,"",10,"",10,""
9309,2018Q2,S08000015,"",S08000031,All Cancer Types,d,26,"",17,""
9310,2018Q2,S08000015,"",S08000031,Cervical,"",3,"",0,""
9311,2018Q2,S08000015,"",S08000031,Head & Neck,"",2,"",1,""
9312,2018Q2,S08000015,"",S08000031,Lung,"",9,"",9,""
9313,2018Q2,S08000015,"",S08000031,Ovarian,"",6,"",4,""
9314,2018Q2,S08000015,"",S08000031,Upper GI,"",2,"",2,""
9315,2018Q2,S08000015,"",S08000031,Urological,"",4,"",1,""
9316,2018Q2,S08000015,"",SB0801,All Cancer Types,d,8,"",6,""
9317,2018Q2,S08000015,"",SB0801,Lung,"",8,"",6,""
9318,2018Q2,S08000016,"",S08000016,All Cancer Types,d,65,"",63,""
9319,2018Q2,S08000016,"",S08000016,Breast,"",11,"",10,""
9320,2018Q2,S08000016,"",S08000016,Cervical,"",1,"",1,""
9321,2018Q2,S08000016,"",S08000016,Colorectal,"",9,"",9,""
9322,2018Q2,S08000016,"",S08000016,Lung,"",15,"",15,""
9323,2018Q2,S08000016,"",S08000016,Lymphoma,"",4,"",4,""
9324,2018Q2,S08000016,"",S08000016,Melanoma,"",6,"",6,""
9325,2018Q2,S08000016,"",S08000016,Ovarian,"",4,"",4,""
9326,2018Q2,S08000016,"",S08000016,Upper GI,"",5,"",5,""
9327,2018Q2,S08000016,"",S08000016,Urological,"",10,"",9,""
9328,2018Q2,S08000016,"",S08000024,All Cancer Types,d,14,"",12,""
9329,2018Q2,S08000016,"",S08000024,Breast,"",2,"",1,""
9330,2018Q2,S08000016,"",S08000024,Colorectal,"",2,"",2,""
9331,2018Q2,S08000016,"",S08000024,Head & Neck,"",2,"",1,""
9332,2018Q2,S08000016,"",S08000024,Lung,"",4,"",4,""
9333,2018Q2,S08000016,"",S08000024,Upper GI,"",4,"",4,""
9334,2018Q2,S08000017,"",S08000017,All Cancer Types,d,96,"",93,""
9335,2018Q2,S08000017,"",S08000017,Breast,"",15,"",15,""
9336,2018Q2,S08000017,"",S08000017,Cervical,"",1,"",1,""
9337,2018Q2,S08000017,"",S08000017,Colorectal,"",23,"",23,""
9338,2018Q2,S08000017,"",S08000017,Head & Neck,"",1,"",1,""
9339,2018Q2,S08000017,"",S08000017,Lung,"",23,"",22,""
9340,2018Q2,S08000017,"",S08000017,Lymphoma,"",3,"",3,""
9341,2018Q2,S08000017,"",S08000017,Melanoma,"",3,"",3,""
9342,2018Q2,S08000017,"",S08000017,Ovarian,"",1,"",1,""
9343,2018Q2,S08000017,"",S08000017,Upper GI,"",12,"",12,""
9344,2018Q2,S08000017,"",S08000017,Urological,"",14,"",12,""
9345,2018Q2,S08000017,"",S08000024,All Cancer Types,d,9,"",8,""
9346,2018Q2,S08000017,"",S08000024,Colorectal,"",1,"",0,""
9347,2018Q2,S08000017,"",S08000024,Lung,"",3,"",3,""
9348,2018Q2,S08000017,"",S08000024,Ovarian,"",3,"",3,""
9349,2018Q2,S08000017,"",S08000024,Urological,"",2,"",2,""
9350,2018Q2,S08000017,"",SB0801,All Cancer Types,d,1,"",0,""
9351,2018Q2,S08000017,"",SB0801,Lung,"",1,"",0,""
9352,2018Q2,S08000019,"",S08000019,All Cancer Types,d,211,"",179,""
9353,2018Q2,S08000019,"",S08000019,Breast,"",33,"",33,""
9354,2018Q2,S08000019,"",S08000019,Cervical,"",1,"",1,""
9355,2018Q2,S08000019,"",S08000019,Colorectal,"",41,"",23,""
9356,2018Q2,S08000019,"",S08000019,Head & Neck,"",2,"",2,""
9357,2018Q2,S08000019,"",S08000019,Lung,"",28,"",27,""
9358,2018Q2,S08000019,"",S08000019,Lymphoma,"",13,"",13,""
9359,2018Q2,S08000019,"",S08000019,Melanoma,"",19,"",14,""
9360,2018Q2,S08000019,"",S08000019,Ovarian,"",2,"",2,""
9361,2018Q2,S08000019,"",S08000019,Upper GI,"",20,"",20,""
9362,2018Q2,S08000019,"",S08000019,Urological,"",52,"",44,""
9363,2018Q2,S08000019,"",S08000024,All Cancer Types,d,5,"",3,""
9364,2018Q2,S08000019,"",S08000024,Upper GI,"",3,"",2,""
9365,2018Q2,S08000019,"",S08000024,Urological,"",2,"",1,""
9366,2018Q2,S08000019,"",S08000031,All Cancer Types,d,25,"",14,""
9367,2018Q2,S08000019,"",S08000031,Cervical,"",3,"",2,""
9368,2018Q2,S08000019,"",S08000031,Colorectal,"",2,"",0,""
9369,2018Q2,S08000019,"",S08000031,Head & Neck,"",4,"",4,""
9370,2018Q2,S08000019,"",S08000031,Lung,"",7,"",6,""
9371,2018Q2,S08000019,"",S08000031,Ovarian,"",2,"",1,""
9372,2018Q2,S08000019,"",S08000031,Upper GI,"",6,"",1,""
9373,2018Q2,S08000019,"",S08000031,Urological,"",1,"",0,""
9374,2018Q2,S08000019,"",SB0801,All Cancer Types,d,1,"",1,""
9375,2018Q2,S08000019,"",SB0801,Lung,"",1,"",1,""
9376,2018Q2,S08000020,"",S08000020,All Cancer Types,d,417,"",343,""
9377,2018Q2,S08000020,"",S08000020,Breast,"",80,"",72,""
9378,2018Q2,S08000020,"",S08000020,Cervical,"",2,"",1,""
9379,2018Q2,S08000020,"",S08000020,Colorectal,"",57,"",37,""
9380,2018Q2,S08000020,"",S08000020,Head & Neck,"",17,"",15,""
9381,2018Q2,S08000020,"",S08000020,Lung,"",93,"",76,""
9382,2018Q2,S08000020,"",S08000020,Lymphoma,"",11,"",8,""
9383,2018Q2,S08000020,"",S08000020,Melanoma,"",24,"",22,""
9384,2018Q2,S08000020,"",S08000020,Ovarian,"",7,"",6,""
9385,2018Q2,S08000020,"",S08000020,Upper GI,"",46,"",45,""
9386,2018Q2,S08000020,"",S08000020,Urological,"",80,"",61,""
9387,2018Q2,S08000020,"",S08000022,All Cancer Types,d,1,"",0,""
9388,2018Q2,S08000020,"",S08000022,Upper GI,"",1,"",0,""
9389,2018Q2,S08000020,"",S08000025,All Cancer Types,d,1,"",1,""
9390,2018Q2,S08000020,"",S08000025,Breast,"",1,"",1,""
9391,2018Q2,S08000022,"",S08000020,All Cancer Types,d,9,"",3,""
9392,2018Q2,S08000022,"",S08000020,Colorectal,"",1,"",1,""
9393,2018Q2,S08000022,"",S08000020,Lung,"",2,"",2,""
9394,2018Q2,S08000022,"",S08000020,Ovarian,"",2,"",0,""
9395,2018Q2,S08000022,"",S08000020,Urological,"",4,"",0,""
9396,2018Q2,S08000022,"",S08000022,All Cancer Types,d,196,"",169,""
9397,2018Q2,S08000022,"",S08000022,Breast,"",60,"",60,""
9398,2018Q2,S08000022,"",S08000022,Cervical,"",5,"",4,""
9399,2018Q2,S08000022,"",S08000022,Colorectal,"",33,"",26,""
9400,2018Q2,S08000022,"",S08000022,Head & Neck,"",2,"",1,""
9401,2018Q2,S08000022,"",S08000022,Lung,"",27,"",26,""
9402,2018Q2,S08000022,"",S08000022,Lymphoma,"",3,"",3,""
9403,2018Q2,S08000022,"",S08000022,Melanoma,"",5,"",4,""
9404,2018Q2,S08000022,"",S08000022,Ovarian,"",7,"",5,""
9405,2018Q2,S08000022,"",S08000022,Upper GI,"",21,"",21,""
9406,2018Q2,S08000022,"",S08000022,Urological,"",33,"",19,""
9407,2018Q2,S08000022,"",S08000024,All Cancer Types,d,1,"",0,""
9408,2018Q2,S08000022,"",S08000024,Urological,"",1,"",0,""
9409,2018Q2,S08000022,"",S08000028,All Cancer Types,d,1,"",1,""
9410,2018Q2,S08000022,"",S08000028,Breast,"",1,"",1,""
9411,2018Q2,S08000022,"",S08000030,All Cancer Types,d,2,"",2,""
9412,2018Q2,S08000022,"",S08000030,Head & Neck,"",1,"",1,""
9413,2018Q2,S08000022,"",S08000030,Lung,"",1,"",1,""
9414,2018Q2,S08000022,"",SB0801,All Cancer Types,d,3,"",3,""
9415,2018Q2,S08000022,"",SB0801,Lung,"",3,"",3,""
9416,2018Q2,S08000024,"",S08000024,All Cancer Types,d,525,"",436,""
9417,2018Q2,S08000024,"",S08000024,Breast,"",160,"",157,""
9418,2018Q2,S08000024,"",S08000024,Cervical,"",4,"",4,""
9419,2018Q2,S08000024,"",S08000024,Colorectal,"",85,"",54,""
9420,2018Q2,S08000024,"",S08000024,Head & Neck,"",20,"",19,""
9421,2018Q2,S08000024,"",S08000024,Lung,"",52,"",49,""
9422,2018Q2,S08000024,"",S08000024,Lymphoma,"",15,"",12,""
9423,2018Q2,S08000024,"",S08000024,Melanoma,"",30,"",24,""
9424,2018Q2,S08000024,"",S08000024,Ovarian,"",5,"",5,""
9425,2018Q2,S08000024,"",S08000024,Upper GI,"",54,"",46,""
9426,2018Q2,S08000024,"",S08000024,Urological,"",100,"",66,""
9427,2018Q2,S08000024,"",S08000029,All Cancer Types,d,3,"",3,""
9428,2018Q2,S08000024,"",S08000029,Breast,"",3,"",3,""
9429,2018Q2,S08000025,"",S08000020,All Cancer Types,d,6,"",5,""
9430,2018Q2,S08000025,"",S08000020,Colorectal,"",1,"",0,""
9431,2018Q2,S08000025,"",S08000020,Lung,"",2,"",2,""
9432,2018Q2,S08000025,"",S08000020,Lymphoma,"",1,"",1,""
9433,2018Q2,S08000025,"",S08000020,Upper GI,"",2,"",2,""
9434,2018Q2,S08000025,"",S08000025,All Cancer Types,d,2,"",2,""
9435,2018Q2,S08000025,"",S08000025,Colorectal,"",2,"",2,""
9436,2018Q2,S08000026,"",S08000020,All Cancer Types,d,9,"",5,""
9437,2018Q2,S08000026,"",S08000020,Breast,"",1,"",1,""
9438,2018Q2,S08000026,"",S08000020,Head & Neck,"",1,"",0,""
9439,2018Q2,S08000026,"",S08000020,Lung,"",2,"",0,""
9440,2018Q2,S08000026,"",S08000020,Lymphoma,"",1,"",1,""
9441,2018Q2,S08000026,"",S08000020,Ovarian,"",1,"",1,""
9442,2018Q2,S08000026,"",S08000020,Upper GI,"",1,"",1,""
9443,2018Q2,S08000026,"",S08000020,Urological,"",2,"",1,""
9444,2018Q2,S08000026,"",S08000026,All Cancer Types,d,7,"",6,""
9445,2018Q2,S08000026,"",S08000026,Breast,"",1,"",1,""
9446,2018Q2,S08000026,"",S08000026,Lung,"",1,"",1,""
9447,2018Q2,S08000026,"",S08000026,Ovarian,"",1,"",1,""
9448,2018Q2,S08000026,"",S08000026,Urological,"",4,"",3,""
9449,2018Q2,S08000028,"",S08000022,All Cancer Types,d,6,"",6,""
9450,2018Q2,S08000028,"",S08000022,Lung,"",3,"",3,""
9451,2018Q2,S08000028,"",S08000022,Lymphoma,"",1,"",1,""
9452,2018Q2,S08000028,"",S08000022,Ovarian,"",1,"",1,""
9453,2018Q2,S08000028,"",S08000022,Upper GI,"",1,"",1,""
9454,2018Q2,S08000028,"",S08000028,All Cancer Types,d,6,"",6,""
9455,2018Q2,S08000028,"",S08000028,Colorectal,"",1,"",1,""
9456,2018Q2,S08000028,"",S08000028,Lung,"",1,"",1,""
9457,2018Q2,S08000028,"",S08000028,Melanoma,"",1,"",1,""
9458,2018Q2,S08000028,"",S08000028,Upper GI,"",2,"",2,""
9459,2018Q2,S08000028,"",S08000028,Urological,"",1,"",1,""
9460,2018Q2,S08000028,"",S08000031,All Cancer Types,d,2,"",2,""
9461,2018Q2,S08000028,"",S08000031,Ovarian,"",1,"",1,""
9462,2018Q2,S08000028,"",S08000031,Urological,"",1,"",1,""
9463,2018Q2,S08000028,"",SB0801,All Cancer Types,d,1,"",1,""
9464,2018Q2,S08000028,"",SB0801,Lung,"",1,"",1,""
9465,2018Q2,S08000029,"",S08000024,All Cancer Types,d,41,"",23,""
9466,2018Q2,S08000029,"",S08000024,Cervical,"",2,"",0,""
9467,2018Q2,S08000029,"",S08000024,Colorectal,"",2,"",2,""
9468,2018Q2,S08000029,"",S08000024,Head & Neck,"",5,"",3,""
9469,2018Q2,S08000029,"",S08000024,Lung,"",19,"",13,""
9470,2018Q2,S08000029,"",S08000024,Upper GI,"",7,"",4,""
9471,2018Q2,S08000029,"",S08000024,Urological,"",6,"",1,""
9472,2018Q2,S08000029,"",S08000029,All Cancer Types,d,183,"",172,""
9473,2018Q2,S08000029,"",S08000029,Breast,"",34,"",34,""
9474,2018Q2,S08000029,"",S08000029,Cervical,"",1,"",1,""
9475,2018Q2,S08000029,"",S08000029,Colorectal,"",29,"",28,""
9476,2018Q2,S08000029,"",S08000029,Head & Neck,"",3,"",3,""
9477,2018Q2,S08000029,"",S08000029,Lung,"",28,"",26,""
9478,2018Q2,S08000029,"",S08000029,Lymphoma,"",5,"",5,""
9479,2018Q2,S08000029,"",S08000029,Melanoma,"",10,"",10,""
9480,2018Q2,S08000029,"",S08000029,Ovarian,"",6,"",6,""
9481,2018Q2,S08000029,"",S08000029,Upper GI,"",23,"",21,""
9482,2018Q2,S08000029,"",S08000029,Urological,"",44,"",38,""
9483,2018Q2,S08000030,"",S08000020,All Cancer Types,d,5,"",0,""
9484,2018Q2,S08000030,"",S08000020,Cervical,"",3,"",0,""
9485,2018Q2,S08000030,"",S08000020,Lung,"",1,"",0,""
9486,2018Q2,S08000030,"",S08000020,Ovarian,"",1,"",0,""
9487,2018Q2,S08000030,"",S08000024,All Cancer Types,d,3,"",1,""
9488,2018Q2,S08000030,"",S08000024,Lung,"",3,"",1,""
9489,2018Q2,S08000030,"",S08000030,All Cancer Types,d,230,"",202,""
9490,2018Q2,S08000030,"",S08000030,Breast,"",69,"",67,""
9491,2018Q2,S08000030,"",S08000030,Cervical,"",2,"",0,""
9492,2018Q2,S08000030,"",S08000030,Colorectal,"",49,"",42,""
9493,2018Q2,S08000030,"",S08000030,Head & Neck,"",4,"",3,""
9494,2018Q2,S08000030,"",S08000030,Lung,"",29,"",21,""
9495,2018Q2,S08000030,"",S08000030,Lymphoma,"",1,"",1,""
9496,2018Q2,S08000030,"",S08000030,Melanoma,"",11,"",11,""
9497,2018Q2,S08000030,"",S08000030,Ovarian,"",4,"",4,""
9498,2018Q2,S08000030,"",S08000030,Upper GI,"",23,"",23,""
9499,2018Q2,S08000030,"",S08000030,Urological,"",38,"",30,""
9500,2018Q2,S08000031,"",S08000019,All Cancer Types,d,2,"",2,""
9501,2018Q2,S08000031,"",S08000019,Breast,"",2,"",2,""
9502,2018Q2,S08000031,"",S08000029,All Cancer Types,d,1,"",1,""
9503,2018Q2,S08000031,"",S08000029,Breast,"",1,"",1,""
9504,2018Q2,S08000031,"",S08000031,All Cancer Types,d,898,"",712,""
9505,2018Q2,S08000031,"",S08000031,Breast,"",268,"",223,""
9506,2018Q2,S08000031,"",S08000031,Cervical,"",4,"",4,""
9507,2018Q2,S08000031,"",S08000031,Colorectal,"",110,"",79,""
9508,2018Q2,S08000031,"",S08000031,Head & Neck,"",53,"",36,""
9509,2018Q2,S08000031,"",S08000031,Lung,"",91,"",86,""
9510,2018Q2,S08000031,"",S08000031,Lymphoma,"",36,"",35,""
9511,2018Q2,S08000031,"",S08000031,Melanoma,"",54,"",53,""
9512,2018Q2,S08000031,"",S08000031,Ovarian,"",15,"",15,""
9513,2018Q2,S08000031,"",S08000031,Upper GI,"",114,"",96,""
9514,2018Q2,S08000031,"",S08000031,Urological,"",153,"",85,""
9515,2018Q2,S08000031,"",S08000032,All Cancer Types,d,29,"",23,""
9516,2018Q2,S08000031,"",S08000032,Breast,"",29,"",23,""
9517,2018Q2,S08000031,"",SB0801,All Cancer Types,d,23,"",14,""
9518,2018Q2,S08000031,"",SB0801,Lung,"",22,"",13,""
9519,2018Q2,S08000031,"",SB0801,Upper GI,"",1,"",1,""
9520,2018Q2,S08000032,"",S08000031,All Cancer Types,d,49,"",43,""
9521,2018Q2,S08000032,"",S08000031,Breast,"",5,"",5,""
9522,2018Q2,S08000032,"",S08000031,Colorectal,"",10,"",7,""
9523,2018Q2,S08000032,"",S08000031,Head & Neck,"",6,"",6,""
9524,2018Q2,S08000032,"",S08000031,Lung,"",11,"",11,""
9525,2018Q2,S08000032,"",S08000031,Lymphoma,"",1,"",1,""
9526,2018Q2,S08000032,"",S08000031,Ovarian,"",7,"",6,""
9527,2018Q2,S08000032,"",S08000031,Upper GI,"",9,"",7,""
9528,2018Q2,S08000032,"",S08000032,All Cancer Types,d,305,"",299,""
9529,2018Q2,S08000032,"",S08000032,Breast,"",70,"",70,""
9530,2018Q2,S08000032,"",S08000032,Cervical,"",2,"",2,""
9531,2018Q2,S08000032,"",S08000032,Colorectal,"",56,"",52,""
9532,2018Q2,S08000032,"",S08000032,Head & Neck,"",8,"",8,""
9533,2018Q2,S08000032,"",S08000032,Lung,"",45,"",45,""
9534,2018Q2,S08000032,"",S08000032,Lymphoma,"",12,"",12,""
9535,2018Q2,S08000032,"",S08000032,Melanoma,"",24,"",24,""
